Word,Count
quick,8
brown,12
fox,8
jump,8
lazy,8
dog,8
sentence,24
contains,8
letter,8
alphabet,8
making,8
popular,8
test,8
phrase,8
simple,8
useful,24
testing,8
purpose,8
world,8
streaming,24
data,56
simulate,8
realtime,32
input,8
big,8
system,32
rely,8
continuous,8
ingestion,8
stream,8
must,12
process,17
quickly,10
efficiently,8
analytics,20
particularly,8
scenario,8
like,18
financial,8
monitoring,8
social,8
medium,8
live,15
video,8
many,11
case,8
volume,8
generated,8
overwhelming,8
key,8
challenge,8
engineer,8
build,10
real,8
time,26
extracting,8
insight,8
ensuring,8
high,22
performance,8
achieve,8
often,8
use,8
tool,8
apache,8
kafka,16
designed,8
handle,9
large,8
amount,8
allows,8
throughput,8
low,8
latency,8
essential,8
analyticsthe,4
beginning,3
god,178
created,11
heaven,32
earth,113
without,6
form,1
void,1
darkness,5
upon,102
face,32
deep,5
spirit,2
moved,2
water,58
said,309
let,50
light,13
saw,31
good,36
divided,9
called,72
day,99
night,25
evening,10
morning,16
first,13
firmament,9
midst,5
divide,3
made,47
second,9
gathered,8
together,13
unto,336
one,38
place,33
dry,4
land,68
appear,2
gathering,1
sea,8
bring,25
forth,35
grass,2
herb,7
yielding,5
seed,46
fruit,9
tree,24
kind,18
whose,12
brought,28
third,6
sign,1
season,1
year,90
give,42
two,40
great,28
greater,2
rule,5
lesser,1
star,4
also,60
set,22
fourth,3
abundantly,4
moving,2
creature,8
hath,55
life,24
fowl,21
may,33
fly,1
open,1
whale,1
every,75
living,16
moveth,3
winged,1
blessed,38
saying,39
fruitful,9
multiply,16
fill,1
fifth,2
cattle,37
creeping,9
thing,42
beast,21
creepeth,8
u,37
make,36
man,72
image,8
likeness,3
dominion,3
fish,3
air,8
male,9
female,8
replenish,2
subdue,1
behold,71
given,16
bearing,4
shall,152
meat,10
wherein,6
green,3
sixth,2
thus,15
finished,1
host,4
seventh,4
ended,1
work,4
rested,3
sanctified,1
generation,17
lord,170
plant,1
field,29
grew,6
caused,3
rain,4
till,5
ground,20
went,75
mist,1
watered,5
whole,9
formed,3
dust,8
breathed,1
nostril,2
breath,4
became,8
soul,9
planted,3
garden,14
eastward,3
eden,6
put,21
grow,1
pleasant,2
sight,8
food,4
knowledge,2
evil,7
river,8
thence,16
parted,1
four,10
head,4
name,75
pison,1
compasseth,2
havilah,4
gold,6
bdellium,1
onyx,1
stone,13
gihon,1
ethiopia,1
hiddekel,1
goeth,2
toward,17
east,11
assyria,2
euphrates,2
took,50
dress,2
keep,11
commanded,12
thou,227
mayest,4
freely,1
eat,37
shalt,63
eatest,1
thereof,9
surely,14
die,10
alone,1
help,2
meet,10
adam,18
see,13
would,3
call,7
whatsoever,4
gave,28
found,20
sleep,5
fall,1
slept,1
rib,2
closed,2
flesh,26
instead,2
taken,22
woman,23
bone,3
therefore,32
leave,2
father,94
mother,25
cleave,1
wife,92
naked,4
ashamed,1
serpent,5
subtil,1
yea,4
ye,29
neither,11
touch,2
lest,11
doth,2
know,17
eye,22
opened,8
knowing,1
desired,1
wise,1
husband,8
knew,8
sewed,1
fig,1
leaf,2
apron,1
heard,18
voice,20
walking,1
cool,1
hid,3
presence,7
amongst,2
art,24
thy,189
afraid,6
told,17
thee,196
wast,2
hast,46
eaten,6
whereof,1
shouldest,4
gavest,1
done,31
beguiled,2
cursed,6
belly,1
go,42
enmity,1
bruise,2
heel,2
